"Ly8_cas9_11"	"Ly8_cas9_3"	"Ly8_cas9_6"	"Ly8_het_A9"	"Ly8_het_G10"	"Ly8_het_G5"	"Ly8_KO_G6"
"ZNF195"	406.078146031679	428.843924196547	393.172337878488	550.366872218933	507.110716441854	435.627095809043	413.248491640386
"MYCBP2"	258.704617688821	532.253097407062	322.182887983761	405.505141664243	350.442365020794	296.706643995923	372.93156562669
"FBXL3"	84.0990243260874	85.16049558513	91.9222364021464	88.8557083328023	105.132709506238	72.0328268660622	117.285602948934
"ITGAL"	28.0330081086958	21.2901238962825	36.40484609986	10.2318694443833	9.27641554466807	13.7205384506785	37.5680446945805
"PDK2"	19.2226341316771	16.7279544899362	16.382180744937	18.8481805554429	15.4606925744468	17.1506730633481	10.079231503424
"ZFX"	68.8811056385097	94.2848343978225	81.0007825721884	76.4697611106541	77.3034628722339	70.3177595597274	87.9642022117008
"LAMP2"	241.083869734784	212.901238962825	204.777259311712	225.101127776433	256.647496735817	174.936865246151	222.659386848368
"GDE1"	194.629170583231	177.924606847504	154.720595924405	182.558091665576	210.265419012476	209.238211372847	229.073443259637
"REX1BD"	289.140455063977	196.173284472889	354.037128321138	207.868505554313	273.13890214856	296.706643995923	246.48302494737
"OSBPL7"	12.0141463322982	22.8108470317312	11.8315749824545	16.694102777678	18.5528310893361	13.7205384506785	21.9910505529252
"AP2B1"	95.3122275695657	101.888450075066	88.2817517921604	90.471266666126	94.8255811232736	80.6081633977363	109.955252764626
"ZNF263"	78.4924227043483	89.7226649914762	65.5287229797479	80.7779166661839	90.7027297700878	66.8876249470578	79.7175582543538
"SPATA20"	28.0330081086958	19.7694007608337	30.944119184881	26.3874527776201	29.8906723105971	18.865740369683	15.5769941416553
"RALA"	358.021560702486	371.056445049495	392.262216725991	508.362355552517	614.304851624685	476.788711161079	488.384581029547
